ID	Customer_ID	Month	Name	Age	SSN	Occupation	Annual_Income	Monthly_Inhand_Salary	Num_Bank_Accounts	Num_Credit_Card	Interest_Rate	Num_of_Loan	Type_of_Loan	Delay_from_due_date	Num_of_Delayed_Payment	Changed_Credit_Limit	Num_Credit_Inquiries	Credit_Mix	Outstanding_Debt	Credit_Utilization_Ratio	Credit_History_Age	Payment_of_Min_Amount	Total_EMI_per_month	Amount_invested_monthly	Payment_Behaviour	Monthly_Balance	Credit_Score
5634	3392	1	Aaron Maashoh	23	821000265	Scientist	19114.12	1824.8433333333328	3	4	3	4	Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan	3	7	11.27	4	Good	809.98	26.822619623699016	265	No	49.57494921489417	21.465380264657146	High_spent_Small_value_payments	312.49408867943663	Good
5635	3392	2	Aaron Maashoh	23	821000265	Scientist	19114.12	1824.8433333333328	3	4	3	4	Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan	3	4	11.27	4	Good	809.98	31.94496005538421	266	No	49.57494921489417	21.465380264657146	Low_spent_Large_value_payments	284.62916249607184	Good
5636	3392	3	Aaron Maashoh	23	821000265	Scientist	19114.12	1824.8433333333328	3	4	3	4	Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan	3	7	11.27	4	Good	809.98	28.60935202206993	267	No	49.57494921489417	21.465380264657146	Low_spent_Medium_value_payments	331.2098628537912	Good
5637	3392	4	Aaron Maashoh	23	821000265	Scientist	19114.12	1824.8433333333328	3	4	3	4	Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan	5	4	6.27	4	Good	809.98	31.37786186958236	268	No	49.57494921489417	21.465380264657146	Low_spent_Small_value_payments	223.45130972736783	Good
5638	3392	5	Aaron Maashoh	23	821000265	Scientist	19114.12	1824.8433333333328	3	4	3	4	Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan	6	4	11.27	4	Good	809.98	24.797346908844982	269	No	49.57494921489417	21.465380264657146	High_spent_Medium_value_payments	341.48923103222177	Good
5639	3392	6	Aaron Maashoh	23	821000265	Scientist	19114.12	1824.8433333333328	3	4	3	4	Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan	8	4	9.27	4	Good	809.98	27.26225871052017	270	No	49.57494921489417	21.465380264657146	High_spent_Medium_value_payments	340.4792117872438	Good
5640	3392	7	Aaron Maashoh	23	821000265	Scientist	19114.12	1824.8433333333328	3	4	3	4	Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan	3	8	11.27	4	Good	809.98	22.53759303178384	271	No	49.57494921489417	21.465380264657146	Low_spent_Small_value_payments	244.5653167062043	Good
5641	3392	8	Aaron Maashoh	23	821000265	Scientist	19114.12	1824.8433333333328	3	4	3	4	Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan	3	6	11.27	4	Good	809.98	23.93379480196552	272	No	49.57494921489417	21.465380264657146	High_spent_Medium_value_payments	358.12416760938714	Standard
5646	8625	1	Rick Rothackerj	28	4075839	Teacher	34847.84	3037.986666666666	2	4	6	1	Credit-Builder Loan	3	4	5.42	2	Good	605.03	24.46403063758457	319	No	18.816214573128885	39.684018417945296	Low_spent_Small_value_payments	470.69062692529184	Standard
5647	8625	2	Rick Rothackerj	28	4075839	Teacher	34847.84	3037.986666666666	2	4	6	1	Credit-Builder Loan	7	1	7.42	2	Good	605.03	38.550848433956325	320	No	18.816214573128885	39.684018417945296	High_spent_Large_value_payments	484.5912142650067	Good
5648	8625	3	Rick Rothackerj	28	4075839	Teacher	34847.84	3037.986666666666	2	4	6	1	Credit-Builder Loan	3	1	5.42	2	Good	605.03	33.22495078663659	321	No	18.816214573128885	39.684018417945296	High_spent_Large_value_payments	466.46647639764313	Standard
5649	8625	4	Rick Rothackerj	28	4075839	Teacher	34847.84	3037.986666666666	2	4	6	1	Credit-Builder Loan	3	3	5.42	2	Good	605.03	39.18265565546884	322	No	18.816214573128885	39.684018417945296	Low_spent_Medium_value_payments	465.6762241330048	Good
5650	8625	5	Rick Rothackerj	28	4075839	Teacher	34847.84	3037.986666666666	2	4	6	1	Credit-Builder Loan	3	1	6.42	2	Good	605.03	34.97789474709241	323	No	18.816214573128885	39.684018417945296	Low_spent_Small_value_payments	444.8670318506144	Good
5651	8625	6	Rick Rothackerj	28	4075839	Teacher	34847.84	3037.986666666666	2	4	6	1	Credit-Builder Loan	3	0	5.42	2	Good	605.03	33.38101020065065	324	No	18.816214573128885	39.684018417945296	High_spent_Large_value_payments	481.5052619	Good
5652	8625	7	Rick Rothackerj	28	4075839	Teacher	34847.84	3037.986666666666	2	4	6	1	Credit-Builder Loan	3	4	5.42	2	Good	605.03	31.131701611553307	325	NM	18.816214573128885	39.684018417945296	High_spent_Medium_value_payments	464.8806778859809	Good
5653	8625	8	Rick Rothackerj	28	4075839	Teacher	34847.84	3037.986666666666	2	4	6	1	Credit-Builder Loan	3	4	5.42	2	Good	605.03	32.933856293622235	326	No	18.816214573128885	39.684018417945296	Low_spent_Small_value_payments	356.07810855965045	Good
5658	11708	1	Langep	34	486853974	Engineer	143162.64	12187.22	1	5	8	3	Auto Loan, Auto Loan, and Not Specified	5	8	7.1	3	Good	1303.01	28.616734823006844	213	No	246.9923194537421	168.4137027	High_spent_Small_value_payments	1043.3159778669492	Good
5659	11708	2	Langep	34	486853974	Engineer	143162.64	12187.22	1	5	8	3	Auto Loan, Auto Loan, and Not Specified	13	6	7.1	3	Good	1303.01	41.70257342393906	214	No	246.9923194537421	168.4137027	High_spent_Small_value_payments	998.8692967863226	Good
5660	11708	3	Langep	34	486853974	Engineer	143162.64	12187.22	1	5	8	3	Auto Loan, Auto Loan, and Not Specified	8	7	11.1	3	Good	1303.01	26.51981539154649	215	No	246.9923194537421	168.4137027	High_spent_Small_value_payments	715.7413674	Good
5661	11708	4	Langep	34	486853974	Engineer	143162.64	12187.22	1	5	8	3	Auto Loan, Auto Loan, and Not Specified	8	5	9.1	3	Good	1303.01	39.50164810812735	216	No	246.9923194537421	168.4137027	Low_spent_Medium_value_payments	426.5134106068658	Good
5662	11708	5	Langep	34	486853974	Engineer	143162.64	12187.22	1	5	8	3	Auto Loan, Auto Loan, and Not Specified	10	5	7.1	3	Good	1303.01	31.37614957421204	217	No	246.9923194537421	168.4137027	Low_spent_Large_value_payments	810.7821526659284	Good
5663	11708	6	Langep	34	486853974	Engineer	143162.64	12187.22	1	5	8	3	Auto Loan, Auto Loan, and Not Specified	8	6	7.1	3	Good	1303.01	39.78399345802119	218	No	246.9923194537421	168.4137027	High_spent_Medium_value_payments	963.9215811205684	Good
5664	11708	7	Langep	34	486853974	Engineer	143162.64	12187.22	1	5	8	3	Auto Loan, Auto Loan, and Not Specified	8	6	7.1	3	Good	1303.01	38.068623627698585	219	No	246.9923194537421	168.4137027	High_spent_Small_value_payments	968.5555173846188	Standard
5665	11708	8	Langep	34	486853974	Engineer	143162.64	12187.22	1	5	8	3	Auto Loan, Auto Loan, and Not Specified	8	6	7.1	3	Good	1303.01	38.37475294778511	220	No	246.9923194537421	168.4137027	High_spent_Small_value_payments	895.4945832	Standard
5670	47249	1	Jasond	54	72316145	Entrepreneur	30689.89	2612.4908333333333	2	5	4	1	Not Specified	0	6	1.99	4	Good	632.46	26.54422872407309	207	No	16.415451659824875	29.393311428984493	Low_spent_Large_value_payments	433.6047729627723	Standard
5671	47249	2	Jasond	54	72316145	Entrepreneur	30689.89	2612.4908333333333	2	5	4	1	Not Specified	5	3	1.99	4	Good	632.46	35.279981779008544	208	No	16.415451659824875	29.393311428984493	Low_spent_Small_value_payments	409.9518118	Standard
5672	47249	3	Jasond	55	72316145	Entrepreneur	30689.89	2612.4908333333333	2	5	4	1	Not Specified	3	9	1.99	4	Good	632.46	32.30116343180253	209	NM	16.415451659824875	29.393311428984493	High_spent_Medium_value_payments	411.42712287098345	Standard
5673	47249	4	Jasond	55	72316145	Entrepreneur	30689.89	2612.4908333333333	2	5	4	1	Not Specified	7	6	1.99	4	Good	632.46	38.132348192570056	210	No	16.415451659824875	29.393311428984493	Low_spent_Small_value_payments	262.4995942778403	Standard
5674	47249	5	Jasond	55	72316145	Entrepreneur	30689.89	2612.4908333333333	2	5	4	1	Not Specified	5	6	1.99	4	Good	632.46	41.15431654696947	211	No	16.415451659824875	29.393311428984493	Low_spent_Large_value_payments	359.37491550776383	Standard
5675	47249	6	Jasond	55	72316145	Entrepreneur	30689.89	2612.4908333333333	2	5	4	1	Not Specified	5	6	1.99	4	Good	632.46	27.44542179	212	No	16.415451659824875	29.393311428984493	High_spent_Small_value_payments	419.8807835023488	Standard
5676	47249	7	Jasond	55	72316145	Entrepreneur	30689.89	2612.4908333333333	2	5	4	1	Not Specified	5	6	1.99	4	Good	632.46	26.05639527857161	213	No	16.415451659824875	29.393311428984493	Low_spent_Large_value_payments	443.5499567906391	Standard
5677	47249	8	Jasond	55	72316145	Entrepreneur	30689.89	2612.4908333333333	2	5	4	1	Not Specified	4	9	1.99	4	Good	632.46	27.33251492755421	214	No	16.415451659824875	29.393311428984493	High_spent_Small_value_payments	379.21638114119577	Standard
5682	7387	1	Deepaa	21	615067821	Developer	35547.71	2853.3091666666664	7	5	5	0	No Data	5	15	2.58	4	Standard	943.86	39.79776423199917	368	Yes	0	37.64363788963997	High_spent_Medium_value_payments	288.60552234930395	Standard
5683	7387	2	Deepaa	21	615067821	Developer	35547.71	2853.3091666666664	7	5	5	0	No Data	9	15	2.58	4	Standard	943.86	27.02036025389693	369	NM	0	37.64363788963997	High_spent_Medium_value_payments	460.8872756166704	Standard
5684	7387	3	Deepaa	21	615067821	Developer	35547.71	2853.3091666666664	7	5	5	0	No Data	5	12	2.58	4	Standard	943.86	23.462303036448013	370	Yes	0	37.64363788963997	Low_spent_Medium_value_payments	392.1922656650829	Standard
5685	7387	4	Deepaa	21	615067821	Developer	35547.71	2853.3091666666664	7	5	5	0	No Data	1	15	2.58	4	Standard	943.86	28.924953778098622	371	Yes	0	37.64363788963997	High_spent_Medium_value_payments	438.5454315807922	Standard
5686	7387	5	Deepaa	21	615067821	Developer	35547.71	2853.3091666666664	7	5	5	0	No Data	9	17	2.58	4	Standard	943.86	41.77618715055719	372	Yes	0	37.64363788963997	High_spent_Small_value_payments	482.6076383223166	Standard
5687	7387	6	Deepaa	21	615067821	Developer	35547.71	2853.3091666666664	7	5	5	0	No Data	5	15	2.58	4	Standard	943.86	29.217556326688413	373	Yes	0	37.64363788963997	High_spent_Medium_value_payments	497.6872787770267	Standard
5688	7387	7	Deepaa	21	615067821	Developer	35547.71	2853.3091666666664	7	5	5	0	No Data	10	15	2.58	4	Standard	943.86	26.263822692130155	374	Yes	0	37.64363788963997	Low_spent_Small_value_payments	394.31893393507744	Standard
5689	7387	8	Deepaa	21	615067821	Developer	35547.71	2853.3091666666664	7	5	5	0	No Data	1	15	2.58	4	Standard	943.86	25.86292247432155	375	Yes	0	37.64363788963997	High_spent_Small_value_payments	364.00001570479753	Standard
5694	38382	1	Np	31	612708987	Lawyer	73928.46	5988.705000000001	4	5	8	0	No Data	12	10	10.14	2	Good	548.2	39.96268501363903	384	No	0	42.63559025189578	High_spent_Large_value_payments	740.1960900583389	Good
5695	38382	2	Np	31	612708987	Lawyer	73928.46	5988.705000000001	4	5	8	0	No Data	8	7	10.14	2	Good	548.2	42.76986440325711	384	NM	0	42.63559025189578	Low_spent_Medium_value_payments	705.9312855	Good
5696	38382	3	Np	31	612708987	Lawyer	73928.46	5988.705000000001	4	5	8	0	No Data	8	7	10.14	2	Good	548.2	40.71218653	385	No	0	42.63559025189578	High_spent_Medium_value_payments	698.8107657019921	Good
5697	38382	4	Np	31	612708987	Lawyer	73928.46	5988.705000000001	4	5	8	0	No Data	8	7	10.14	2	Good	548.2	30.201657705809275	386	No	0	42.63559025189578	Low_spent_Small_value_payments	270.66810874941655	Good
5698	38382	5	Np	31	612708987	Lawyer	73928.46	5988.705000000001	4	5	8	0	No Data	11	7	10.14	2	Good	548.2	26.33331042687101	387	No	0	42.63559025189578	Low_spent_Large_value_payments	690.9186643139128	Good
5699	38382	6	Np	31	612708987	Lawyer	73928.46	5988.705000000001	4	5	8	0	No Data	7	7	10.14	2	Good	548.2	35.27543652	388	No	0	42.63559025189578	Low_spent_Large_value_payments	633.0801749681799	Good
5700	38382	7	Np	31	612708987	Lawyer	73928.46	5988.705000000001	4	5	8	0	No Data	8	4	9.14	2	Good	548.2	36.62479126183764	389	No	0	42.63559025189578	High_spent_Small_value_payments	510.3611004874053	Standard
5701	38382	8	Np	31	612708987	Lawyer	73928.46	5988.705000000001	4	5	8	0	No Data	8	7	10.14	2	Good	548.2	31.58098966831768	390	No	0	42.63559025189578	High_spent_Large_value_payments	796.2349097481042	Good
5706	10314	1	Nadiaq	33	411510676	Lawyer	131313.4	11242.783333333333	0	1	8	2	Credit-Builder Loan, and Mortgage Loan	0	3	9.34	2	Good	352.16	32.200508995391914	367	NM	137.6446054014217	86.56638801207531	High_spent_Medium_value_payments	858.4624744	Good
5707	10314	2	Nadiaq	34	411510676	Lawyer	131313.4	11242.783333333333	0	1	8	2	Credit-Builder Loan, and Mortgage Loan	0	2	15.34	4	Good	352.16	31.98371000755867	368	No	137.6446054014217	86.56638801207531	High_spent_Small_value_payments	547.7604572149734	Good
5708	10314	3	Nadiaq	34	411510676	Lawyer	131313.4	10469.207759388815	0	1	8	2	Credit-Builder Loan, and Mortgage Loan	0	3	9.34	4	Good	352.16	31.80313449509228	369	NM	911.2201793459374	86.56638801207531	High_spent_Large_value_payments	1038.5694068321734	Good
5709	10314	4	Nadiaq	34	411510676	Lawyer	131313.4	10469.207759388815	0	1	8	2	Credit-Builder Loan, and Mortgage Loan	0	2	8.34	4	Good	352.16	42.64578489930634	370	No	911.2201793459374	86.56638801207531	High_spent_Medium_value_payments	899.1987716145285	Good
5710	10314	5	Nadiaq	34	411510676	Lawyer	131313.4	10469.207759388815	0	1	8	2	Credit-Builder Loan, and Mortgage Loan	0	4	9.34	4	Good	352.16	40.902517150451615	371	No	911.2201793459374	86.56638801207531	High_spent_Large_value_payments	963.2548189998564	Good
5711	10314	6	Nadiaq	34	411510676	Lawyer	131313.4	10469.207759388815	0	1	8	2	Credit-Builder Loan, and Mortgage Loan	0	3	11.34	4	Good	352.16	41.98016961054943	372	No	911.2201793459374	86.56638801207531	High_spent_Large_value_payments	1140.0673399198365	Standard
5712	10314	7	Nadiaq	34	411510676	Lawyer	131313.4	10469.207759388815	0	1	8	2	Credit-Builder Loan, and Mortgage Loan	0	2	9.34	4	Good	352.16	26.94756515223988	373	No	911.2201793459374	86.56638801207531	High_spent_Medium_value_payments	326.24183015224526	Good
5713	10314	8	Nadiaq	34	411510676	Lawyer	131313.4	10469.207759388815	0	1	8	2	Credit-Builder Loan, and Mortgage Loan	0	2	9.34	4	Good	352.16	29.18791265416669	374	No	911.2201793459374	86.56638801207531	Low_spent_Medium_value_payments	396.1113462137519	Good
5718	21511	1	Annk	30	500926408	Media_Manager	34081.38	2611.115	8	7	15	3	Not Specified, Auto Loan, and Student Loan	30	11	17.13	5	Standard	1704.18	24.44806274625548	176	NM	70.47833267207261	29.32636371091455	Low_spent_Large_value_payments	298.19215813115227	Poor
5719	21511	2	Annk	30	500926408	Media_Manager	34081.38	2611.115	8	7	15	3	Not Specified, Auto Loan, and Student Loan	30	14	17.13	5	Standard	1704.18	35.171160021263034	176	Yes	70.47833267207261	29.32636371091455	High_spent_Large_value_payments	392.19618457022375	Poor
5720	21511	3	Annk	30	500926408	Media_Manager	34081.38	2611.115	8	7	15	3	Not Specified, Auto Loan, and Student Loan	31	14	17.13	5	Standard	1704.18	35.11155247196594	177	Yes	70.47833267207261	29.32636371091455	Low_spent_Large_value_payments	260.9124018324295	Poor
5721	21511	4	Annk	30	500926408	Media_Manager	34081.38	2611.115	8	7	15	3	Not Specified, Auto Loan, and Student Loan	34	14	21.13	5	Standard	1704.18	29.76215930632113	178	Yes	70.47833267207261	29.32636371091455	Low_spent_Small_value_payments	260.0809753987602	Poor
5722	21511	5	Annk	30	500926408	Media_Manager	34081.38	2611.115	8	7	15	3	Not Specified, Auto Loan, and Student Loan	27	14	17.13	5	Standard	1704.18	30.206214222610893	179	Yes	70.47833267207261	29.32636371091455	High_spent_Large_value_payments	397.2283547370202	Standard
5723	21511	6	Annk	30	500926408	Media_Manager	34081.38	2611.115	8	7	15	3	Not Specified, Auto Loan, and Student Loan	30	14	18.13	5	Standard	1704.18	31.17087232096111	180	Yes	70.47833267207261	29.32636371091455	High_spent_Medium_value_payments	410.6743660782873	Standard
5724	21511	7	Annk	30	500926408	Media_Manager	34081.38	2611.115	8	7	15	3	Not Specified, Auto Loan, and Student Loan	30	11	17.13	5	Standard	1704.18	38.438505084064886	181	NM	70.47833267207261	29.32636371091455	High_spent_Small_value_payments	395.1733866886684	Standard
5725	21511	8	Annk	30	500926408	Media_Manager	34081.38	2611.115	8	7	15	3	Not Specified, Auto Loan, and Student Loan	30	14	17.13	9	Standard	1704.18	33.82348834412097	182	Yes	70.47833267207261	29.32636371091455	High_spent_Medium_value_payments	411.3068036170128	Poor
5730	16727	1	Charlie Zhur	23	70191622	Doctor	114838.41	9843.8675	2	5	7	3	Personal Loan, Debt Consolidation Loan, and Auto Loan	13	11	8.24	3	Good	1377.74	33.66455429077268	256	No	226.8927919215432	212.23560220847847	High_spent_Small_value_payments	802.3004421328528	Good
5731	16727	2	Charlie Zhur	23	70191622	Doctor	114838.41	9843.8675	2	5	7	3	Personal Loan, Debt Consolidation Loan, and Auto Loan	14	8	8.24	3	Good	1377.74	27.62632548676964	257	NM	226.8927919215432	212.23560220847847	High_spent_Large_value_payments	785.2583558699787	Good
5732	16727	3	Charlie Zhur	23	70191622	Doctor	114838.41	9843.8675	2	5	7	3	Personal Loan, Debt Consolidation Loan, and Auto Loan	11	11	8.24	3	Good	1377.74	35.14156730186042	258	NM	226.8927919215432	212.23560220847847	High_spent_Small_value_payments	547.1081623988198	Good
5733	16727	4	Charlie Zhur	23	70191622	Doctor	114838.41	9843.8675	2	5	7	3	Personal Loan, Debt Consolidation Loan, and Auto Loan	11	14	8.24	8	Good	1377.74	30.45903184	259	No	226.8927919215432	212.23560220847847	High_spent_Small_value_payments	772.4119086	Good
5734	16727	5	Charlie Zhur	23	70191622	Doctor	114838.41	9843.8675	2	5	7	3	Personal Loan, Debt Consolidation Loan, and Auto Loan	11	11	11.24	8	Good	1377.74	29.819186633421047	260	No	226.8927919215432	212.23560220847847	High_spent_Small_value_payments	367.6845938942932	Standard
5735	16727	6	Charlie Zhur	24	70191622	Doctor	114838.41	9843.8675	2	5	7	3	Personal Loan, Debt Consolidation Loan, and Auto Loan	13	14	8.24	8	Good	1377.74	26.114213868949623	261	NM	226.8927919215432	212.23560220847847	High_spent_Small_value_payments	491.11338755538793	Good
5736	16727	7	Charlie Zhur	24	70191622	Doctor	114838.41	9843.8675	2	5	7	3	Personal Loan, Debt Consolidation Loan, and Auto Loan	11	11	8.24	8	Good	1377.74	31.76751564697107	262	No	226.8927919215432	212.23560220847847	High_spent_Medium_value_payments	792.0256603398883	Good
5737	16727	8	Charlie Zhur	24	70191622	Doctor	114838.41	9843.8675	2	5	7	3	Personal Loan, Debt Consolidation Loan, and Auto Loan	11	11	8.24	8	Good	1377.74	27.813353640375272	263	No	226.8927919215432	212.23560220847847	High_spent_Large_value_payments	742.9221908300779	Standard
5742	47624	1	Jamesj	44	366681681	Journalist	31370.8	2825.233333333333	0	5	12	2	Not Specified, and Payday Loan	4	0	5.76	2	Good	421.43	29.51935255713933	318	NM	46.61612907334207	22.29805714008664	High_spent_Small_value_payments	341.55442316289026	Good
5743	47624	2	Jamesj	44	366681681	Journalist	31370.8	2825.233333333333	1	6	12	2	Not Specified, and Payday Loan	2	0	5.76	2	Good	421.43	28.22048095698559	318	No	46.61612907334207	22.29805714008664	Low_spent_Small_value_payments	227.1627349487646	Good
5744	47624	3	Jamesj	44	366681681	Journalist	31370.8	2825.233333333333	1	6	12	2	Not Specified, and Payday Loan	1	0	1.7599999999999998	5	Good	421.43	31.04641790511995	319	No	46.61612907334207	22.29805714008664	Low_spent_Medium_value_payments	375.0865082781542	Good
5745	47624	4	Jamesj	44	366681681	Journalist	31370.8	2825.233333333333	1	6	12	2	Not Specified, and Payday Loan	1	0	5.76	5	Good	421.43	30.1680304	320	No	46.61612907334207	22.29805714008664	Low_spent_Small_value_payments	292.3016778366485	Good
5746	47624	5	Jamesj	44	366681681	Journalist	31370.8	2825.233333333333	1	6	12	2	Not Specified, and Payday Loan	1	0	5.76	5	Good	421.43	25.18923173183331	321	No	46.61612907334207	22.29805714008664	Low_spent_Small_value_payments	341.20663263941435	Good
